Site ID	Site Name	Parameter	Recorded Date	Aggregated Value	Units	No of Records	Data Source	Status	Quality Description
18593	LAKE HANNA	"Rainfall, total"	1/31/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/1/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/2/15	0.1	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/3/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/4/15	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/5/15	1.65	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/6/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/9/15	0.85	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/10/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/11/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/12/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/13/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/14/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/15/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/16/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/17/15	0.91	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/18/15	0.46	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/19/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/20/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/21/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/22/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/23/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/24/15	0.28	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/25/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/26/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/27/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	2/28/15	1.93	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/1/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/2/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/3/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/4/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/5/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/6/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/9/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/10/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/11/15	0.16	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/12/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/13/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/14/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/15/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/16/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/17/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/18/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/19/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/20/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/21/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/22/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/23/15	0.51	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/24/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/25/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/26/15	0.25	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/27/15	0.73	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/28/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/29/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/30/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	3/31/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/1/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/2/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/3/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/4/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/5/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/6/15	0.12	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/9/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/10/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/11/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/12/15	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/13/15	0.43	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/14/15	0.34	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/15/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/16/15	0.17	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/17/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/18/15	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/19/15	0.07	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/20/15	0.26	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/21/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/22/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/23/15	0.85	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/24/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/25/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/26/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/27/15	0.05	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/28/15	0.98	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/29/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	4/30/15	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/1/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/2/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/3/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/4/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/5/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/6/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/9/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/10/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/11/15	0.3	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/12/15	0.81	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/13/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/14/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
